id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
1,"Kaip elgsitės, jei artėjate prie tolumoje esančios pėsčiųjų perėjos, bet nesate įsitikinę, kad prie perėjos nėra stovinčių žmonių? ","Privažiavęs perėją, prie jos sustosiu.",Atleisiu greičio pedalą.,Nestabdęs važiuosiu toliau., ,2,1,"Pirmas atsakymas netinka, nes tamsiu paros metu,  jei nesate įsitikinę, kad prie perėjos nėra stovinčių žmonių, prie kiekvienos perėjos sustoti nereikia. Užtenka atleisti greičio pedalą ir prireikus sustabdyti transporto priemonę.",1.jpg
2,Ką reiškia šis ženklas?,Dviratininkai.,Vaikai.,Gyvenamoji zona.,,1,1,"""Dviratininkai"" įspėja apie kelio ruožą, į kurį dažnai įvažiuoja ar jį kerta dviratininkai, elektrinių mikrojudumo priemonių vairuotojai.",2.jpg
3,"Ar vairuotojui turint KASKO draudimą, būtina užsisakyti ir privalomąjį civilinės atsakomybės draudimą?",Nebūtina.,Būtina.,,,2,1,"Privalomasis civilinės atsakomybės draudimas visuomet būtinas, net jei automobilis apdraustas KASKO draudimu. Primename, kad jei esate automobilio savininkas, šių dokumentų nebūtina vežiotis su savimi, tačiau įvykus eismo įvykiui, gali tekti pateikti jų duomenis kitam eismo įvykio dalyviui, pavyzdžiui, pildant eismo įvykio deklaraciją.",3.jpg
4,Krovininio automobilio vairuotojui gyvenamojoje zonoje neleidžiama važiuoti greičiau kaip:,30 km/h.,20 km/h.,60 km/h.,40 km/h.,2,2,Gyvenamojoje zonoje draudžiama važiuoti didesniu kaip 20 km/h greičiu.,4.jpg
5,Ar leidžiama javų kombainu važiuoti automagistrale?,Leidžiama,Leidžiama dienos metu.,Draudžiama.,,3,1,"Keliuose, pažymėtuose kelio ženklais „Automagistralė“ ar „Automobilių kelias“, draudžiama: judėti pėstiesiems, vadelioti, varyti gyvulius ar paukščius, joti, važiuoti dviračiais, elektrinėmis mikrojudumo priemonėmis, mopedais, visų rūšių keturračiais ir visomis kitomis transporto priemonėmis, išskyrus automobilius, motociklus, triračius, motociklus ir automobilius su priekabomis, jeigu šių motorinių transporto priemonių maksimalus konstrukcinis greitis arba greitis dėl jų techninės būklės ne mažesnis kaip 60 km/h.",5.jpg
6,Ar leidžiama vežti žmones krovininio automobilio kėbule? ,Leidžiama pritaikius atitinkamai kėbulą ir įrengus sėdėjimo vietas.,"Leidžiama, lydintiems krovinius.","Draudžiama išskyrus keleivius, vežamus krašto apsaugos sistemos poreikiams.",,3,2,"Keleivius vežti leidžiama tik tam skirtomis (arba specialiai tam pritaikytomis) transporto priemonėmis ir tik pagal konstrukciją keleiviams skirtose vietose. Krovininio automobilio kėbule vežti keleivius draudžiama, išskyrus keleivius, vežamus krašto apsaugos sistemos poreikiams, pritaikius kėbulą keleiviams vežti.",6.jpg
7,Ką reiškia šis kelio ženklas?,"Stovėjimo vieta, skirta elektromobiliams stovėti tik jų įkrovimo metu.",Lengvųjų automobilių stovėjimo vieta.,,,1,1,"Kelio ženklas 854. ""Elektromobiliai"". Nurodo, kad stovėjimo vieta skirta elektromobiliams stovėti tik jų įkrovimo metu.",7.jpg
8,Kas yra važiuojamųjų kelio dalių sankirta?,"Tai plotas, kurį riboja linijos, įsivaizduojamos pratęsus išorinius susikertančių važiuojamųjų kelio dalių kraštus.","Tai plotas, kurį riboja įsivaizduojamos linijos, jungiančios išorinius šaligatvių ar kelkraščių kraštus.",,,1,1,"Važiuojamųjų kelio dalių sankirta (toliau – važiuojamųjų dalių sankirta) – plotas, kurį riboja tiesios linijos, įsivaizduojamos pratęsus išorinius susikertančių važiuojamųjų dalių kraštus, neatsižvelgiant į tai, ar šie kraštai išplatinti ar suapvalinti.",8.jpg
9,Keliomis eilėmis leidžiama sustoti ir stovėti važiuojamoje dalyje lengviesiems automobiliams? ,Viena eile.,Dviem eilėmis.,Trimis eilėmis.,,1,2,Transporto priemonėms sustoti ir stovėti važiuojamojoje dalyje leidžiama viena eile.,9.jpg
10,Ar leidžiama taip apvažiuoti priverstinai sustojusį automobilį?,Leidžiama.,Draudžiama.,,,1,1,"Ištisines horizontaliojo ženklinimo linijas leidžiama kirsti išskirtiniu atveju, kai tęsti važiavimo nekeičiant eismo juostos neįmanoma dėl stacionarios kliūties važiuojamojoje dalyje (nuvirtęs medis, įvykęs eismo įvykis, priverstinai sustojusi ar neleistinoje vietoje stovinti transporto priemonė ar kiti stacionarūs objektai, dėl kurių eismas neįmanomas), jeigu tai daryti saugu ir nekliudoma kitiems eismo dalyviams.",10.jpg
