id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
1,What will you do if you are approaching a pedestrian crossing some distance ahead but are not sure that nobody is standing at it?,I will stop at the crossing when I reach it.,I will ease off the accelerator.,I will drive on without braking.,,2,1,"The first answer is wrong: in the dark, if you are not sure whether anyone is standing at the crossing, you do not have to stop at every crossing. It is enough to ease off the accelerator and to stop the vehicle if that becomes necessary.",1.jpg
2,What does this sign mean?,Cyclists.,Children.,Residential zone.,,1,1,"""Cyclists"" warns of a stretch of road that is often entered or crossed by cyclists and by riders of electric micromobility vehicles.",2.jpg
3,"If a driver has comprehensive (KASKO) insurance, is compulsory third party liability insurance also required?",It is not required.,It is required.,,,2,1,"Compulsory third party liability insurance is always required, even if the car is covered by comprehensive (KASKO) insurance. Note that if you are the owner of the car you do not have to carry these documents with you, but after a road accident you may have to give their details to the other party involved, for example when filling in an accident declaration.",3.jpg
4,"In a residential zone, the driver of a lorry must not drive faster than:",30 km/h.,20 km/h.,60 km/h.,40 km/h.,2,2,In a residential zone it is prohibited to drive faster than 20 km/h.,4.jpg
5,Is a combine harvester allowed to drive on a motorway?,It is allowed.,It is allowed during the day.,It is prohibited.,,3,1,"On roads marked with the signs ""Motorway"" or ""Road for Motor Vehicles"" the following are prohibited: pedestrians, driving animal-drawn vehicles, driving or herding animals or birds, horse riding, and the movement of bicycles, electric micromobility vehicles, mopeds, quadricycles of all kinds and all other vehicles, except cars, motorcycles, tricycles, and motorcycles and cars with trailers, provided that the maximum design speed of these motor vehicles, or their speed given their technical condition, is at least 60 km/h.",5.jpg
6,Is it allowed to carry people in the body of a lorry?,It is allowed if the body has been adapted accordingly and seats have been fitted.,It is allowed for people accompanying the load.,"It is prohibited, except for passengers carried for the needs of the national defence system.",,3,2,"Passengers may be carried only in vehicles intended for that purpose (or specially adapted for it) and only in the places designed for passengers. Carrying passengers in the body of a lorry is prohibited, except for passengers carried for the needs of the national defence system, where the body has been adapted for carrying passengers.",6.jpg
7,What does this road sign mean?,"A parking space for electric vehicles, for use only while they are charging.",A parking space for cars.,,,1,1,"Road sign 854, ""Electric vehicles"". It indicates that the parking space is for electric vehicles to stand in only while they are being charged.",7.jpg
8,What is an intersection of carriageways?,It is the area bounded by the lines imagined as extensions of the outer edges of the intersecting carriageways.,It is the area bounded by imaginary lines joining the outer edges of the pavements or shoulders.,,,1,1,"An intersection of carriageways (hereinafter — carriageway intersection) is the area bounded by the straight lines imagined as extensions of the outer edges of the intersecting carriageways, regardless of whether those edges are widened or rounded.",8.jpg
9,In how many rows are cars allowed to stop and stand on the carriageway?,In one row.,In two rows.,In three rows.,,1,2,Vehicles are allowed to stop and stand on the carriageway in one row only.,9.jpg
10,Is it allowed to pass a car that has been forced to stop in this way?,It is allowed.,It is prohibited.,,,1,1,"Solid road marking lines may be crossed in the exceptional case where it is impossible to continue without changing lane because of a stationary obstruction on the carriageway (a fallen tree, a road accident, a vehicle forced to stop or parked where it should not be, or other stationary objects that make movement impossible), provided that it is safe to do so and other road users are not obstructed.",10.jpg
11,What do these road signs mean?,Standing is prohibited for 20 m ahead on the side of the road where the signs are placed.,Standing is prohibited beyond 20 m on the side of the road where the signs are placed.,,,1,1,"Road sign 333 — No standing (vehicles are prohibited from standing on the side of the road where the sign is. It does not apply to vehicles marked with the ""Disabled person"" distinguishing sign or with a disabled person's parking card, nor to taxis with the taximeter switched on. If it is used together with marking line 1.9, it applies until the end of that line).
Road sign 806 — Zone of validity ahead (indicates the length of the zone beyond the sign in which the dangerous section of road, or the other road signs it is used with, apply).",11.jpg
12,Is it allowed to pass vehicles travelling in the same direction on their right while driving in a deceleration or acceleration lane?,It is prohibited in all cases.,It is allowed only for vehicles that are turning left or making a U-turn.,It is allowed if you do not obstruct traffic.,It is allowed only for vehicles travelling slower than 30 km/h.,2,2,Vehicles (except bicycles and electric micromobility vehicles) are prohibited from passing vehicles travelling in the same direction on their right (except for the permitted passing on the right of vehicles that are turning left or making a U-turn) while driving on the shoulder or in a deceleration or acceleration lane. Slower vehicles travelling in the same direction should be passed on the left.,12.jpg
13,"When taking part in traffic, drivers of bicycles and of other vehicles classed as powered cycles (electric scooters, electric self-balancing vehicles and similar, with a speed of up to 25 km/h and a power of up to 1 kW) must follow the Road Traffic Rules intended for:",pedestrians.,cyclists.,drivers of motor vehicles.,,2,1,"The requirements laid down in the Rules for cyclists, together with the road signs and road markings, also apply to drivers of powered cycles.",13.jpg
